""2017-02-27 13:33:10 [restartedMain] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat started on port(s): 8080 (http)
""2017-02-27 13:33:10 [restartedMain] INFO  org.egov.asset.EgovAssetApplication - Started EgovAssetApplication in 1.687 seconds (JVM running for 222.878)
""2017-02-27 13:33:21 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[.[localhost].[/asset] - Initializing Spring FrameworkServlet 'dispatcherServlet'
""2017-02-27 13:33:57 [Thread-9] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1d39a14f: startup date [Mon Feb 27 13:33:09 IST 2017]; root of context hierarchy
""2017-02-27 13:33:57 [Thread-9] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
""2017-02-27 13:33:57 [restartedMain] INFO  org.egov.asset.EgovAssetApplication - Starting EgovAssetApplication on toshiba-Satellite-Pro-B40-A with PID 16698 (started by toshiba in /home/toshiba/Egovworkspace/new proj/egov-asset)
""2017-02-27 13:33:57 [restartedMain] DEBUG org.egov.asset.EgovAssetApplication - Running with Spring Boot v1.4.1.RELEASE, Spring v4.3.3.RELEASE
""2017-02-27 13:33:57 [restartedMain] INFO  org.egov.asset.EgovAssetApplication - No active profile set, falling back to default profiles: default
""2017-02-27 13:33:57 [restartedMain] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@182dad62: startup date [Mon Feb 27 13:33:57 IST 2017]; root of context hierarchy
""2017-02-27 13:33:57 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [class org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$cad17f43] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
